退屈なことはPythonにやらせよう ―ノンプログラマーにもできる自動化処理プログラミング,
Python実践データ分析100本ノック,
実践Vim　思考のスピードで編集しよう！,
Pythonで始めるOpenCV入門,https://www.amazon.co.jp/Python%E3%81%A7%E5%A7%8B%E3%82%81%E3%82%8BOpenCV%E5%85%A5%E9%96%80-t-tetsuya-ebook/dp/B07XG3PC44
Amazon Web Services 定番業務システム14パターン 設計ガイド,
オリジナルの画像認識AIを簡単に作ろう！,
Python画像処理ライブラリPillow最速の入門書: 画像処理を効率的に自動化する,
ハッカー外伝 1,
つくってマスターPython - 機械学習・Webアプリケーション・スクレイピング・文書処理ができる!,
Pythonでテスト自動化を実現しよう（pytest Jenkins Selenium 活用編）,
デッドライン　ソフト開発を成功に導く101の法則,
アジャイルサムライ　達人開発者への道,
レガシーコードからの脱却　ソフトウェアの寿命を延ばし価値を高める9つのプラクティス,
Amazon Web Services ネットワーク入門 (impress top gear),
Pythonでの自動化・仕事効率化入門 - スクレイピング編 - Pythonを使って仕事を楽にしよう。,
Docker Desktop for Windows/Macでつくるクリーンな開発環境構築入門(Python版),
Linuxで動かしながら学ぶTCP/IPネットワーク入門,
独学で身につけるためのプログラミング学習術,
リーダブルコード ―より良いコードを書くためのシンプルで実践的なテクニック (Theory in practice),


